,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
96,0.6063442138091245,6.701093854193164,6.09474964038404,6103.526525036448,4.518096212438275,31074.730689317086,1.0,0.0,ENSMUST00000112090,ENSMUSG00000009013,1.0,2,0,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0,0,1,0,12.575427335550808,12.575427335550808,red
136,3.142633609159648,8.645925879205315,5.503292270045661,8623.986158967706,2.831268295891955,11323.303694881608,1.0,0.0,ENSMUST00000172023,ENSMUSG00000079435,0.7659574468085106,3,0,0,0,0,0,5,0.0,1,1,1,1,0,0,0,0,0,5,1,0,13.074139147306694,13.074139147306694,red
140,1.0568955172086774,7.307283195823999,6.250387678615324,10478.882679387722,5.5266072564795214,30851.67653063889,1.0,0.0,ENSMUST00000179954,ENSMUSG00000073702,0.0,2,0,0,0,1,0,0,0.0,1,1,1,0,0,0,0,1,0,0,1,0,13.355197275924684,13.355197275924684,red
132,0.5772105209664543,7.079930402625401,6.502719881658956,11697.971702576506,3.5229567735339447,41351.16411276752,1.0,0.0,ENSMUST00000163140,ENSMUSG00000031879,0.0,1,0,0,0,0,0,5,1.0,2,1,1,0,0,0,0,0,0,5,1,0,13.51397078386188,13.51397078386188,red
86,2.579367255233536,8.672753663922716,6.093386408689177,11755.087065967651,3.777059422647631,24449.899009713063,1.0,0.0,ENSMUST00000078432,ENSMUSG00000030432,0.0,4,0,0,0,0,1,2,0.0,2,1,1,0,0,0,0,0,1,1,1,0,13.52099760413584,13.52099760413584,red
35,0.4930196917042937,5.317822412424574,4.824802720720283,12753.481113654188,2.8960379487232912,3278.812375344698,1.0,0.0,5502bc00-0fbb-4cdd-a198-5aeda3350103-0,ENSMUSG00000032599,0.0020876826722338,4,1,4,1,1,0,6,0.0,3,2,2,1,1,3,1,0,0,6,2,0,13.638603469765387,13.638603469765387,red
34,0.4930196917042937,5.317822412424574,4.824802720720283,12753.481113654188,2.8960379487232912,3278.812375344698,1.0,0.0,5502bc00-0fbb-4cdd-a198-5aeda3350103-0,ENSMUSG00000032599,0.0020876826722338,4,1,4,1,1,0,6,0.0,3,2,2,1,1,3,1,0,0,6,2,0,13.638603469765387,13.638603469765387,red
11,0.5851166506721005,6.615633339271482,6.030516688599378,13490.089436796708,3.875579397206796,16401.358247751094,1.0,0.0,15887eaa-e7d5-4a7c-b5b9-68a005209a59-0,ENSMUSG00000061232,0.0179689627007895,5,0,0,0,0,0,8,0.5625,3,1,3,2,0,0,0,0,0,8,1,2,13.719612292668495,13.719612292668495,red
59,0.7841147272038907,6.340532381771425,5.55641765456754,14375.368968251629,2.419391541140659,8360.862122535684,1.0,0.0,ENSMUST00000001083,ENSMUSG00000001056,1.0,2,0,0,0,0,0,0,0.0,1,1,1,1,0,0,0,0,0,0,1,0,13.811311365299368,13.811311365299368,red
91,2.82571988825794,9.069068375966827,6.243348487708885,15995.19826926339,2.9160368325593056,16298.724093270186,1.0,0.0,ENSMUST00000106150,ENSMUSG00000050212,1.0,3,0,0,0,0,0,2,0.0,1,1,1,2,0,0,0,0,0,2,1,0,13.965351255110896,13.965351255110896,red
32,2.6975264082202086,9.259011542781431,6.561485134561217,16770.798198651963,4.622779689114201,27713.542229690185,1.0,0.0,43ede01a-807b-4abe-8d19-2f00fee785e0-0,ENSMUSG00000035242,1.0,4,0,2,0,0,1,5,1.0,3,1,2,3,0,2,0,0,1,4,1,1,14.033663734512082,14.033663734512082,red
